User Id,Pl Name,Cr Last 3 D,Cr Last 7 D,Cr Last 30 D,Traffic Dr 3 D,Traffic Dr 7 D,Traffic Dr 30 D
73738,Platform,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.33333333333333333,0.34615384615384615,0.23076923076923076
73740,Plusbase,,,,,,
73740,Printbase,,,,,,
73744,Printbase,,,,,,
73754,Platform,,0.00000000000000000,0.33333333333333333,1.00000000000000000,1.00000000000000000,1.00000000000000000
73756,Platform,,,,,,
73757,Plusbase,,,,,,
73774,Platform,,,,1.00000000000000000,0.80000000000000000,0.46153846153846153
73782,Platform,0.10547667342799188,0.15724381625441696,0.27544769085768143,0.99839743589743589,0.99932432432432432,0.99943904263275991
73782,Shopbase Creator,0.89562289562289562,0.79202279202279202,0.78257328990228013,1.00000000000000000,1.00000000000000000,0.99940793368857312
73783,Platform,,,,1.00000000000000000,1.00000000000000000,1.00000000000000000
73784,Platform,,,,,,
73835,Plusbase,1.00000000000000000,1.00000000000000000,0.77419354838709677,1.00000000000000000,1.00000000000000000,1.00000000000000000
73835,Printbase,,0.00000000000000000,0.77777777777777777,,1.00000000000000000,1.00000000000000000
73861,Platform,,,,,,
73864,Platform,,,,,,
73877,Shopbase Creator,,,0.50000000000000000,,,1.00000000000000000
73882,Printbase,,,,,,
74020,Platform,,,,,,
74027,Platform,,,,,,1.00000000000000000
74079,Platform,,,,,,
74086,Plusbase,,,0.00000000000000000,,,1.00000000000000000
74112,Plusbase,,,,,,
74114,Printbase,,,,,,
74117,Platform,,,,,,
74123,Platform,,,,,,
74132,Platform,,,,,,0.00000000000000000
74193,Platform,,,,,,
74254,Platform,0.21428571428571428,0.12000000000000000,0.07317073170731707,0.18750000000000000,0.17241379310344827,0.33928571428571428
74283,Platform,,,,,,
74306,Plusbase,,,0.00000000000000000,,,1.00000000000000000
74350,Platform,,,,,,
74441,Platform,,,,,,
74852,Plusbase,,,,,,
74947,Printbase,,,,,,
75065,Platform,,,,,,
75065,Printbase,,,,,,
75209,Platform,,,,,,
75712,Plusbase,,,,,,
76013,Platform,,,0.00000000000000000,,,0.00000000000000000
76028,Platform,,,,,,
76173,Plusbase,,,,,,
76668,Plusbase,,,,,,
76668,Printbase,,,,,,
76678,Platform,,,,,,
76685,Platform,,,0.00000000000000000,,1.00000000000000000,1.00000000000000000
76905,Platform,,,,,,
77107,Platform,,,,,,
77406,Printbase,,,,,,
77944,Platform,,,,,,
78016,Platform,,,,,,
78362,Platform,,,,,,
78454,Platform,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.63636363636363636,0.68181818181818181,0.63157894736842105
78455,Platform,,,,,,
78678,Platform,,,,,,
78946,Plusbase,,,,,,
78977,Plusbase,,,,,,
78977,Printbase,,,,,,
79080,Platform,0.00000000000000000,0.00000000000000000,0.02941176470588235,0.00000000000000000,0.25000000000000000,0.39534883720930232
79229,Platform,,,,,,
79298,Plusbase,,,,,,
79407,Platform,0.03030303030303030,0.02469135802469135,0.02479338842975206,0.08918918918918918,0.10427807486631016,0.14744351961950059
79407,Printbase,0.00000000000000000,0.02564102564102564,0.01503759398496240,0.55882352941176470,0.47500000000000000,0.54909090909090909
79449,Platform,,,,,,
79449,Printbase,,,,,,
79995,Printbase,,,,,,
80024,Platform,,,,,,
80046,Platform,,,,,,
80198,Printbase,,,,,,
80244,Platform,,,,,,
80340,Plusbase,,,,,,
80360,Platform,,,,,,
80360,Printbase,,,,,,
80491,China,,,,,,
80491,Printbase,,,,,,
80655,Platform,,,,,,
80656,Platform,,,,,,
80720,Platform,,,,,,
80888,Platform,,,,,,
81118,Printbase,,,,,,
81368,Printbase,,,,,,
81460,Platform,,,,,,
81811,Platform,,,,,,1.00000000000000000
82182,Platform,,,,,,
82377,Plusbase,,,,,,
82690,Plusbase,,,,,,
82818,Printbase,,,,,,
83206,Platform,,,,,,
83671,Plusbase,,,,,,
83746,Printbase,,,,,,
83909,Platform,,,,,,
84152,Platform,,,,,,
84293,Platform,0.02475247524752475,0.02183406113537117,0.02419753086419753,0.48024316109422492,0.47464788732394366,0.48879202988792029
84336,Platform,0.00000000000000000,0.05263157894736842,0.02325581395348837,0.78571428571428571,0.75757575757575757,0.69565217391304347
84699,Printbase,,,,,,
85043,Platform,,,,,,
85446,Plusbase,,,,,,
85519,China,,,,,,
85620,Platform,0.01789611523352247,0.01596310748492373,0.01380848067595055,0.04030245746691871,0.03730934463570048,0.03531429576638911
85631,Platform,,,,,,
85720,Platform,,,,,,1.00000000000000000
85769,Plusbase,,,,,,
86035,Platform,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.46875000000000000,0.32894736842105263,0.47341772151898734
86110,Platform,,,,,,
86245,Platform,0.05882352941176470,0.04000000000000000,0.03070175438596491,0.65217391304347826,0.65625000000000000,0.72151898734177215
86360,Plusbase,,0.00000000000000000,0.00000000000000000,,1.00000000000000000,1.00000000000000000
86375,Printbase,,,,,,
86510,Platform,0.01204819277108433,0.00617283950617283,0.00755667506297229,0.40579710144927536,0.40492957746478873,0.32881085395051875
86575,Plusbase,,,,,,
86596,Printbase,,,,,,
86661,Platform,,,,,,
86720,Platform,,0.00000000000000000,0.00000000000000000,,0.50000000000000000,0.36842105263157894
86794,Printbase,,,,,,
87224,Platform,0.05647840531561461,0.05282861896838602,0.04304761904761904,0.12187500000000000,0.12588512981904012,0.16888157121016111
87369,Platform,,,,,,
87427,Printbase,,,,,,
87514,Platform,,,,,,
87834,Platform,,,,,,
87852,Platform,0.00746268656716417,0.01162790697674418,0.03984504703929164,0.33497536945812807,0.46825396825396825,0.17959057071960297
88052,Printbase,,,,,,
88061,Platform,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.75000000000000000,0.84444444444444444,0.72514619883040935
88061,Printbase,,,,,,
88108,Platform,,,,,,
88169,Platform,,,,,,
