user_id,pl_name,cr_last_3d,cr_last_7d,cr_last_30d,traffic_dr_3d,traffic_dr_7d,traffic_dr_30d
9148895,Printbase,,0.00000000000000000,0.02631578947368421,,1.00000000000000000,0.95593220338983050
9149191,Printbase,,0.05797101449275362,0.05797101449275362,,0.73394495412844036,0.73394495412844036
9206427,Plusbase,,,0.20000000000000000,1.00000000000000000,0.88888888888888888,0.94444444444444444
11210097,Plusbase,0.00000000000000000,0.00418410041841004,0.00236966824644549,0.13793103448275862,0.07516339869281045,0.18795620437956204
11206347,Printbase,,,0.02339181286549707,,,0.15183246073298429
9149005,Printbase,,0.00000000000000000,0.04255319148936170,,1.00000000000000000,0.96969696969696969
249489,Plusbase,0.04000000000000000,0.08928571428571428,0.06329113924050632,0.16666666666666666,0.36250000000000000,0.58219178082191780
9149155,Printbase,,0.11764705882352941,0.11764705882352941,,0.90298507462686567,0.90298507462686567
11201548,Plusbase,0.06250000000000000,0.06250000000000000,0.06250000000000000,1.00000000000000000,1.00000000000000000,1.00000000000000000
11207947,Printbase,1.00000000000000000,1.00000000000000000,1.00000000000000000,1.00000000000000000,1.00000000000000000,1.00000000000000000
9148630,Printbase,,0.00000000000000000,0.00419287211740041,,0.10779220779220779,0.10225669957686882
9148880,Printbase,,0.00000000000000000,0.00826446280991735,,0.09492847854356306,0.09941089837997054
9148791,Printbase,,0.00000000000000000,0.00266666666666666,,0.09020618556701030,0.11016949152542372
9671759,Plusbase,0.00000000000000000,0.18181818181818181,0.11607142857142857,1.00000000000000000,0.70370370370370370,0.71710526315789473
11204130,Plusbase,0.44444444444444444,0.44444444444444444,0.44444444444444444,1.00000000000000000,1.00000000000000000,1.00000000000000000
11226870,Plusbase,0.00000000000000000,0.01604278074866310,0.01442307692307692,0.98387096774193548,0.98941798941798941,0.99111111111111111
9148567,Platform,,,,,,
9157580,Platform,,,0.02173913043478260,,,0.34513274336283185
9148858,Printbase,,0.00000000000000000,0.00241837968561064,,0.11595744680851063,0.11416094822208359
250477,Platform,,,,,,
9148402,Printbase,,,0.00233644859813084,,,0.10850439882697947
249489,Printbase,,,,,,0.83333333333333333
9132179,Printbase,,0.18181818181818181,0.11764705882352941,1.00000000000000000,0.88235294117647058,0.89285714285714285
9149182,Printbase,,0.08888888888888888,0.08888888888888888,,0.78260869565217391,0.78260869565217391
9149158,Printbase,,0.09090909090909090,0.09090909090909090,,0.93288590604026845,0.93288590604026845
9264120,Plusbase,,,,,,
11193074,Plusbase,0.00000000000000000,0.00000000000000000,0.00000000000000000,1.00000000000000000,1.00000000000000000,1.00000000000000000
11220701,Plusbase,0.75609756097560975,0.72340425531914893,0.69387755102040816,1.00000000000000000,0.95000000000000000,0.95238095238095238
9148668,Printbase,,0.00000000000000000,0.00319829424307036,,0.08808290155440414,0.09627547434996486
9148577,Printbase,,0.00000000000000000,0.00707547169811320,,0.20893561103810775,0.21126760563380281
240383,Plusbase,0.04827586206896551,0.04255319148936170,0.02946361118106270,0.43032786885245901,0.65313653136531365,0.14773748876236140
9122065,China,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.75000000000000000,0.75000000000000000,0.77142857142857142
9148870,Printbase,,0.00000000000000000,0.00391644908616187,,0.09299655568312284,0.09347679892400806
9148659,Printbase,,0.00000000000000000,0.00000000000000000,,0.12591815320041972,0.11761006289308176
11201690,Plusbase,,,,,,
11226068,Plusbase,,,0.00000000000000000,,,1.00000000000000000
9143827,China,0.00000000000000000,0.00000000000000000,0.44594594594594594,1.00000000000000000,1.00000000000000000,0.98360655737704918
9148902,Printbase,,0.00000000000000000,0.00294117647058823,,0.09266943291839557,0.09035687167805618
9148565,Printbase,,0.00000000000000000,0.00252737994945240,,0.10599571734475374,0.10439354111903867
240383,Printbase,,,,,,
9145446,China,0.46153846153846153,0.56000000000000000,0.37837837837837837,1.00000000000000000,0.96363636363636363,0.97619047619047619
9148625,Printbase,,0.00000000000000000,0.00267737617135207,,0.09375000000000000,0.10489949748743718
10763286,Plusbase,,,,,,
9149178,Printbase,,0.50000000000000000,0.50000000000000000,,0.38461538461538461,0.38461538461538461
11210553,Plusbase,0.20000000000000000,0.23076923076923076,0.07594936708860759,0.59259259259259259,0.68888888888888888,0.57142857142857142
9206597,Plusbase,,,,,,
211543,Platform,,,,1.00000000000000000,1.00000000000000000,0.72727272727272727
211543,Printbase,,,0.50000000000000000,,,0.83333333333333333
247013,Printbase,,,,,,
9148018,Printbase,,,0.23076923076923076,,,0.33333333333333333
9148408,Printbase,,,0.04203539823008849,,,0.17361111111111111
9148621,Printbase,,0.00000000000000000,0.00317965023847376,,0.17106200997861724,0.17775324316864476
9148781,Printbase,,0.00000000000000000,0.02797202797202797,,1.00000000000000000,0.96677740863787375
9148851,Printbase,,0.00000000000000000,0.00313971742543171,,0.10860927152317880,0.10585744530698659
9148863,Printbase,,0.00000000000000000,0.01550387596899224,,1.00000000000000000,0.95986622073578595
9148921,Printbase,,0.00000000000000000,0.00415512465373961,,0.10372340425531914,0.11455331412103746
9149011,Printbase,,0.00000000000000000,0.02970297029702970,,1.00000000000000000,0.94000000000000000
9557172,Plusbase,1.00000000000000000,1.00000000000000000,0.50000000000000000,1.00000000000000000,1.00000000000000000,0.96666666666666666
11168777,Plusbase,,,,,,
11195104,Plusbase,,,,,,1.00000000000000000
11200996,Plusbase,,,,,,
11203719,Plusbase,1.00000000000000000,0.16666666666666666,0.14285714285714285,0.75000000000000000,0.66666666666666666,0.72413793103448275
11210097,Platform,0.52380952380952380,0.64705882352941176,0.54641909814323607,1.00000000000000000,1.00000000000000000,0.99482758620689655
11210114,Plusbase,,,14.50000000000000000,,0.66666666666666666,0.99152542372881355
11213839,Plusbase,0.02657004830917874,0.02657004830917874,0.02657004830917874,0.07296466973886328,0.07296466973886328,0.07296466973886328
11218501,Plusbase,0.02222222222222222,0.01923076923076923,0.01694915254237288,0.18367346938775510,0.36764705882352941,0.34570765661252900
11219718,China,,,,,,
11224942,Plusbase,0.00632111251580278,0.00573300573300573,0.00573300573300573,0.35396039603960396,0.39425379090183559,0.39425379090183559
11229630,Printbase,,,0.00000000000000000,,,1.00000000000000000
