User Id,Pl Name,Total Order,% orders flagged fraud,% orders flagged fraud Smp Spay,% payment failed PLB/PB,% failed significant PB PLB,% failed high PB PLB,% failed Smp Spay,% failed significant Smp Spay,% failed high Smp Spay,% dispute PB PLB,% dispute Smp Spay,% dispute fraudulent,% dispute product not received
9129155,Platform,9851,0.46249111765303014922,0.0,,,,0.0,0.0,0.0,0.00000000000000000000,0.0,0.00000000000000000000,0.00000000000000000000
111694,Platform,1954,0.63101330603889457523,0.77000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1.4784615384615385,0.76846153846153846154,0.67846153846153846154,0.00000000000000000000,0.01230769230769230769,0.00818833162743091095,0.00000000000000000000
9142974,Platform,1525,0.77639344262295081967,0.78590425531914893617,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1.6861702127659574,0.69215425531914893617,0.99335106382978723404,0.00000000000000000000,0.00864361702127659574,0.00852459016393442623,0.00000000000000000000
250477,Platform,1158,0.74265975820379965458,0.76951331496786042241,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1.1882460973370064,0.58585858585858585859,0.56106519742883379247,0.00000000000000000000,0.02020202020202020202,0.01899827288428324698,0.00000000000000000000
240383,Plusbase,625,0.32640000000000000000,0.0,0.16320000000000000000,0.07360000000000000000,0.05600000000000000000,0.0,0.0,0.0,0.02880000000000000000,0.0,0.00320000000000000000,0.00160000000000000000
11210097,Platform,381,0.98162729658792650919,0.0,,,,0.0,0.0,0.0,0.00000000000000000000,0.0,0.00000000000000000000,0.00000000000000000000
248942,Platform,303,0.44224422442244224422,0.44224422442244224422,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.24422442244224422442,0.03300330033003300330,0.18811881188118811881,0.00000000000000000000,0.40594059405940594059,0.04950495049504950495,0.26732673267326732673
249104,Platform,253,0.35968379446640316206,0.35968379446640316206,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.65612648221343873518,0.04743083003952569170,0.56126482213438735178,0.00000000000000000000,0.45454545454545454545,0.03557312252964426877,0.32411067193675889328
249087,Platform,215,0.41860465116279069767,0.41860465116279069767,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.32093023255813953488,0.06976744186046511628,0.21395348837209302326,0.00000000000000000000,0.46511627906976744186,0.05581395348837209302,0.30232558139534883721
9671759,Plusbase,191,0.34031413612565445026,0.0,0.28272251308900523560,0.00000000000000000000,0.16753926701570680628,0.0,0.0,0.0,0.05759162303664921466,0.0,0.00523560209424083770,0.01047120418848167539
9151214,Platform,183,0.97267759562841530055,0.97093023255813953488,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,4.3604651162790698,1.1627906976744186,2.2325581395348837,0.00000000000000000000,0.13372093023255813953,0.12568306010928961749,0.00000000000000000000
9144391,Platform,141,0.52482269503546099291,0.52482269503546099291,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.92907801418439716312,0.04964539007092198582,0.86524822695035460993,0.00000000000000000000,0.04255319148936170213,0.04255319148936170213,0.00000000000000000000
9163539,Plusbase,124,0.40322580645161290323,0.0,1.6532258064516129,1.3225806451612903,0.10483870967741935484,0.0,0.0,0.0,0.02419354838709677419,0.0,0.02419354838709677419,0.00000000000000000000
9122065,China,113,0.99115044247787610619,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.33846153846153846154,0.07692307692307692308,0.07692307692307692308,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
11210114,Plusbase,88,0.67045454545454545455,0.0,1.9204545454545455,0.40909090909090909091,1.2954545454545455,0.0,0.0,0.0,0.00000000000000000000,0.0,0.00000000000000000000,0.00000000000000000000
248120,China,86,0.58139534883720930233,0.31250000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,2.5625000000000000,1.8125000000000000,0.62500000000000000000,0.00000000000000000000,0.06250000000000000000,0.01162790697674418605,0.00000000000000000000
11222700,Printbase,77,0.58441558441558441558,0.0,0.16883116883116883117,0.00000000000000000000,0.03896103896103896104,0.0,0.0,0.0,0.01298701298701298701,0.0,0.00000000000000000000,0.00000000000000000000
9154757,Plusbase,76,0.56578947368421052632,0.0,0.46052631578947368421,0.28947368421052631579,0.10526315789473684211,0.0,0.0,0.0,0.06578947368421052632,0.0,0.05263157894736842105,0.00000000000000000000
241392,Printbase,66,1.00000000000000000000,0.0,,,,0.0,0.0,0.0,0.40909090909090909091,0.0,0.40909090909090909091,0.00000000000000000000
9264120,Plusbase,64,0.67187500000000000000,0.0,0.26562500000000000000,0.23437500000000000000,0.03125000000000000000,0.0,0.0,0.0,0.51562500000000000000,0.0,0.01562500000000000000,0.00000000000000000000
249819,Printbase,49,0.79591836734693877551,0.0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.0,0.0,0.0,0.42857142857142857143,0.0,0.40816326530612244898,0.00000000000000000000
247040,Printbase,48,1.00000000000000000000,0.0,,,,0.0,0.0,0.0,0.27083333333333333333,0.0,0.27083333333333333333,0.00000000000000000000
9136759,China,46,0.45652173913043478261,0.45652173913043478261,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.30434782608695652174,0.00000000000000000000,0.10869565217391304348,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
9135039,China,42,0.83333333333333333333,0.83333333333333333333,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1.0476190476190476,0.83333333333333333333,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
